Glas,,ZnS_1,,ZnS_2,,MgF2_1,,MgF2_2,,MgF2_3,,Filter,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
799.9864502,99.74943542,799.9864502,83.71871948,799.9864502,82.00886536,799.9864502,96.41801453,799.9864502,98.14287567,799.9864502,99.18603516,799.9864502,94.04489136,
798.9830933,99.86834717,798.9830933,84.4302063,798.9830933,83.18965149,798.9830933,97.44665527,798.9830933,98.43125916,798.9830933,99.56222534,798.9830933,94.40384674,
798.0137939,99.53536987,798.0137939,84.09220886,798.0137939,82.8167038,798.0137939,97.10850525,798.0137939,98.0592041,798.0137939,99.61383057,798.0137939,94.7002182,
797.0095825,99.55929565,797.0095825,83.95830536,797.0095825,82.32442474,797.0095825,96.13246155,797.0095825,97.30675507,797.0095825,99.72106171,797.0095825,94.95362091,
796.0050049,99.42774963,796.0050049,84.29189301,796.0050049,82.61875153,796.0050049,96.27391052,796.0050049,98.00411987,796.0050049,98.92773438,796.0050049,94.82939148,
795,99.7032547,795,84.83863831,795,83.43793488,795,97.04542542,795,98.56039429,795,99.0432663,795,94.89347076,
793.9945068,99.8376236,793.9945068,84.94059753,793.9945068,83.72810364,793.9945068,97.48016357,793.9945068,98.32848358,793.9945068,99.90930176,793.9945068,95.68837738,
792.9886475,99.73859406,792.9886475,84.89413452,792.9886475,83.42744446,792.9886475,96.55258942,792.9886475,97.75408173,792.9886475,99.96569061,792.9886475,96.11855316,
792.0172119,99.7256012,792.0172119,84.8646698,792.0172119,83.09790802,792.0172119,96.07778931,792.0172119,97.5207901,792.0172119,98.90784454,792.0172119,95.07078552,
791.0105591,99.94367981,791.0105591,85.70127869,791.0105591,84.55125427,791.0105591,97.35663605,791.0105591,98.75209808,791.0105591,99.1971817,791.0105591,95.67971802,
790.0036011,99.59962463,790.0036011,85.65961456,790.0036011,84.13331604,790.0036011,96.97418213,790.0036011,97.96253967,790.0036011,99.83249664,790.0036011,96.20474243,
788.9960938,99.69700623,788.9960938,85.25307465,788.9960938,83.98643494,788.9960938,96.31568909,788.9960938,97.48551941,788.9960938,99.40592957,788.9960938,96.52896118,
787.9883423,99.9056015,787.9883423,85.84703827,787.9883423,83.96632385,787.9883423,96.24602509,787.9883423,97.21152496,787.9883423,98.79521942,787.9883423,95.85786438,
787.0148315,99.91235352,787.0148315,86.96481323,787.0148315,85.21658325,787.0148315,97.18828583,787.0148315,98.38781738,787.0148315,99.3835144,787.0148315,96.40489197,
786.0062866,99.60209656,786.0062866,86.31931305,786.0062866,84.6526413,786.0062866,97.30174255,786.0062866,98.08576965,786.0062866,99.33808136,786.0062866,96.33383179,
784.9972534,99.57246399,784.9972534,85.95206451,784.9972534,84.75793457,784.9972534,96.53250122,784.9972534,97.71035004,784.9972534,99.49604034,784.9972534,96.78835297,
783.987854,99.87998962,783.987854,86.81626129,783.987854,84.70637512,783.987854,96.36000061,783.987854,97.85460663,783.987854,98.89492798,783.987854,96.05605316,
783.0128784,100.0131836,783.0128784,87.19804382,783.0128784,85.65054321,783.0128784,97.06122589,783.0128784,98.03099823,783.0128784,99.12161255,783.0128784,96.38851929,
782.0027466,99.67285919,782.0027466,87.00676727,782.0027466,86.10495758,782.0027466,97.01856232,782.0027466,98.15545654,782.0027466,99.85742188,782.0027466,96.81393433,
780.9921265,99.78314972,780.9921265,87.17702484,780.9921265,85.42375183,780.9921265,96.43022919,780.9921265,97.7949295,780.9921265,99.77401733,780.9921265,96.38542175,
780.0161133,100.1293411,780.0161133,87.43740845,780.0161133,85.65383911,780.0161133,96.30422974,780.0161133,97.87358093,780.0161133,99.24691772,780.0161133,95.77220154,
779.0046997,99.83750153,779.0046997,88.19019318,779.0046997,86.34526062,779.0046997,97.26972198,779.0046997,98.58817291,779.0046997,99.1341629,779.0046997,95.71101379,
777.992981,99.8836441,777.992981,87.89206696,777.992981,86.66288757,777.992981,97.42700195,777.992981,98.05715942,777.992981,99.67802429,777.992981,95.69487,
777.015686,99.85674286,777.015686,88.0377655,777.015686,86.2951355,777.015686,96.57985687,777.015686,97.46638489,777.015686,99.29920197,777.015686,95.57897186,
